TIME  ns, IN1, IN2
59.57, -0.015162, 0.014674
58.594, 0.010688, 0.05688
57.617, 0.036539, 0.099087
56.641, 0.06239, 0.141293
55.664, 0.088241, 0.183499
54.687, 0.114092, 0.225705
53.711, 0.139943, 0.267912
52.734, 0.165793, 0.310118
51.758, 0.17953, 0.333002
50.781, 0.15653, 0.297289
49.805, 0.13353, 0.261576
48.828, 0.11053, 0.225863
47.852, 0.08753, 0.19015
46.875, 0.06453, 0.154437
45.898, 0.041529, 0.118724
44.922, 0.018529, 0.083011
43.945, -0.003352, 0.049115
42.969, -0.006365, 0.045869
41.992, -0.009377, 0.042622
41.016, -0.01239, 0.039375
40.039, -0.015403, 0.036129
39.062, -0.018415, 0.032882
38.086, -0.021428, 0.029635
37.109, -0.024441, 0.026389
36.133, -0.027453, 0.023142
35.156, -0.041186, 0.019895
34.18, -0.056605, 0.016649
33.203, -0.072025, 0.013402
32.227, -0.087445, 0.010156
31.25, -0.102865, 0.006909
30.273, -0.118285, 0.003662
29.297, -0.133704, 0.000416
28.32, -0.149124, -0.002831
27.344, -0.137965, -0.003896
26.367, -0.113831, -0.003896
25.391, -0.089697, -0.003896
24.414, -0.065563, -0.003896
23.438, -0.041429, -0.003896
22.461, -0.017295, -0.003896
21.484, 0.006839, -0.003896
20.508, 0.030973, -0.003896
19.531, 0.048001, -0.003896
18.555, 0.057331, -0.003896
17.578, 0.06666, -0.003896
16.602, 0.07599, -0.003896
15.625, 0.085319, -0.003896
14.648, 0.094649, -0.003896
13.672, 0.103979, -0.003896
12.695, 0.113308, -0.003896
11.719, 0.125306, -0.003896
10.742, 0.143901, -0.003896
9.766, 0.162495, -0.003896
8.789, 0.181089, -0.003896
7.813, 0.199684, -0.003896
6.836, 0.218278, -0.003896
5.859, 0.236873, -0.003896
4.883, 0.255467, -0.003896
3.906, 0.271105, -0.003896
2.93, 0.258892, -0.003896
1.953, 0.246679, -0.003896
0, 0.234467, -0.003896
0, 0.222254, -0.003896
0, 0.210041, -0.003896
-1.953, 0.197828, -0.003896
-2.93, 0.185616, -0.003896
-3.906, 0.173403, -0.003896
-4.883, 0.15466, -0.003896
-5.859, 0.135223, -0.003896
-6.836, 0.115786, -0.003896
-7.813, 0.09635, -0.003896
-8.789, 0.076913, -0.003896
-9.766, 0.057476, -0.003896
-10.742, 0.03804, -0.003896
-11.719, 0.018603, -0.003896
-12.695, 0.010929, 0.026154
-13.672, 0.008013, 0.06836
-14.648, 0.005098, 0.110567
-15.625, 0.002182, 0.152773
-16.602, -0.000733, 0.194979
-17.578, -0.003649, 0.237185
-18.555, -0.006564, 0.279391
-19.531, -0.00948, 0.321598
-20.508, -0.013861, 0.323288
-21.484, -0.019594, 0.287575
-22.461, -0.025328, 0.251862
-23.438, -0.031062, 0.216149
-24.414, -0.036796, 0.180436
-25.391, -0.04253, 0.144723
-26.367, -0.048264, 0.10901
-27.344, -0.053997, 0.073297
-28.32, -0.059859, 0.048232
-29.297, -0.065981, 0.044985
-30.273, -0.072104, 0.041739
-31.25, -0.078226, 0.038492
-32.227, -0.084349, 0.035246
-33.203, -0.090472, 0.031999
-34.18, -0.096594, 0.028752
-35.156, -0.102717, 0.025506
-36.133, -0.11131, 0.022259
-37.109, -0.135606, 0.019012
-38.086, -0.159902, 0.015766
-39.063, -0.184198, 0.012519
-40.039, -0.208494, 0.009272
-41.016, -0.23279, 0.006026
-41.992, -0.257086, 0.002779
-42.969, -0.281382, -0.000467
-43.945, -0.305678, -0.003714
-44.922, -0.332512, -0.003896
-45.898, -0.359496, -0.003896
-46.875, -0.386481, -0.003896
-47.852, -0.413466, -0.003896
-48.828, -0.44045, -0.003896
-49.805, -0.467435, -0.003896
-50.781, -0.494419, -0.003896
-51.758, -0.521404, -0.003896
-52.734, -0.535113, -0.038075
-53.711, -0.544442, -0.083528
-54.688, -0.553772, -0.128981
-55.664, -0.563101, -0.174434
-56.641, -0.572431, -0.219887
-57.617, -0.581761, -0.26534
-58.594, -0.59109, -0.310793
-59.57, -0.60042, -0.356246
-60.547, -0.59248, -0.35443
-61.523, -0.57097, -0.31547
-62.5, -0.54946, -0.27651
-63.477, -0.52795, -0.237551
-64.453, -0.50644, -0.198591
-65.43, -0.48493, -0.159631
-66.406, -0.46342, -0.120672
-67.383, -0.44191, -0.081712
-68.359, -0.432488, -0.054699
-69.336, -0.443826, -0.048206
-70.312, -0.455164, -0.041713
-71.289, -0.466502, -0.03522
-72.266, -0.47784, -0.028726
-73.242, -0.489178, -0.022233
-74.219, -0.500516, -0.01574
-75.195, -0.511854, -0.009247
-76.172, -0.520097, -0.003896
-77.148, -0.513845, -0.003896
-78.125, -0.507593, -0.003896
-79.102, -0.501341, -0.003896
-80.078, -0.495088, -0.003896
-81.055, -0.488836, -0.003896
-82.031, -0.482584, -0.003896
-83.008, -0.476332, -0.003896
-83.984, -0.47008, -0.003896
-84.961, -0.466441, -0.003896
-85.937, -0.462846, -0.003896
-86.914, -0.45925, -0.003896
-87.891, -0.455654, -0.003896
-88.867, -0.452058, -0.003896
-89.844, -0.448462, -0.003896
-90.82, -0.444867, -0.003896
-91.797, -0.441271, -0.003896
-92.773, -0.434904, -0.003896
-93.75, -0.42781, -0.003896
-94.727, -0.420715, -0.003896
-95.703, -0.413621, -0.003896
-96.68, -0.406527, -0.003896
-97.656, -0.399432, -0.003896
-98.633, -0.392338, -0.003896
-99.609, -0.385243, -0.003896
-100.586, -0.369072, -0.003896
-101.562, -0.34685, -0.003896
-102.539, -0.324627, -0.003896
-103.516, -0.302405, -0.003896
-104.492, -0.280182, -0.003896
-105.469, -0.257959, -0.003896
-106.445, -0.235737, -0.003896
-107.422, -0.213514, -0.003896
-108.398, -0.179767, -0.003896
-109.375, -0.129296, -0.003896
-110.352, -0.078825, -0.003896
-111.328, -0.028355, -0.003896
-112.305, 0.022116, -0.003896
-113.281, 0.072587, -0.003896
-114.258, 0.123057, -0.003896
-115.234, 0.173528, -0.003896
-116.211, 0.215785, -0.003896
-117.188, 0.228224, -0.003896
-118.164, 0.240664, -0.003896
-119.141, 0.253103, -0.003896
-120.117, 0.265543, -0.003896
-121.094, 0.277982, -0.003896
-122.07, 0.290422, -0.003896
-123.047, 0.302861, -0.003896
-124.023, 0.314814, -0.003896
-125, 0.306942, -0.003896
-125.977, 0.29907, -0.003896
-126.953, 0.291198, -0.003896
-127.93, 0.283326, -0.003896
-128.906, 0.275455, -0.003896
-129.883, 0.267583, -0.003896
-130.859, 0.259711, -0.003896
-131.836, 0.251839, -0.003896
-132.813, 0.296145, 0.031219
-133.789, 0.350989, 0.073425
-134.766, 0.405833, 0.115631
