TIME μs, IN1, IN2
-1.953, 1.05779, 0.368454
-1.973, 1.192866, 0.395051
-1.992, 0.851327, 0.075893
-2.012, -0.062362, 0.075893
-2.031, -1.290522, -0.34965
-2.051, -1.377035, -0.668807
-2.07, -1.999872, -0.775193
-2.09, -0.061566, -0.402842
-2.109, 0.784453, 0.049297
-2.129, 1.786247, 0.395051
-2.148, 2.159366, 0.501436
-2.168, 0.974197, 0.155683
-2.188, 1.26956, 0.767401
-2.207, -1.172695, -0.003896
-2.227, -0.944206, 0.208876
-2.246, -1.664437, -0.083685
-2.266, -1.020635, -0.456035
-2.285, 1.183844, 0.421647
-2.305, 0.586482, 0.075893
-2.324, 2.136013, 0.501436
-2.344, 1.716453, 0.873786
-2.363, -0.174351, 0.0227
-2.383, -0.895643, -0.722
-2.402, -2.136541, -0.854982
-2.422, -1.821274, -0.775193
-2.441, -0.987728, -0.057089
-2.461, 0.490947, 0.288665
-2.48, 1.891601, 0.793997
-2.5, 1.618264, 0.395051
-2.52, 2.117171, 0.793997
-2.539, -0.462549, -0.26986
-2.559, -1.273273, -0.030492
-2.578, -1.880718, -0.668807
-2.598, -2.162282, -0.775193
-2.617, -0.049093, -0.402842
-2.637, 0.437872, -0.296457
-2.656, 1.714861, 0.687611
-2.676, 1.646925, 0.075893
-2.695, 0.967562, 0.075893
-2.715, 0.820278, 0.395051
-2.734, -0.783919, -0.030492
-2.754, -0.501294, 0.262068
-2.773, -0.990647, -0.083685
-2.793, -0.537916, -0.402842
-2.813, 0.520138, 0.368454
-2.832, 0.08731, -0.26986
-2.852, 0.910772, 0.421647
-2.871, 0.482189, 0.075893
-2.891, 0.129505, 0.0227
-2.91, -0.104557, 0.075893
-2.93, -0.475818, 0.0227
-2.949, 0.024681, 0.0227
-2.969, -0.244675, -0.030492
-2.988, 0.228225, 0.0227
-3.008, -0.010083, 0.0227
-3.027, -0.155774, 0.0227
-3.047, -0.155774, 0.0227
-3.066, -0.116499, 0.0227
-3.086, 0.370201, 0.368454
-3.105, 0.472371, 0.0227
-3.125, 0.662114, 0.075893
-3.145, 0.246801, 0.0227
-3.164, 0.183907, 0.0227
-3.184, -0.630001, 0.0227
-3.203, -0.673788, -0.030492
-3.223, -0.908646, -0.429439
-3.242, -0.456711, -0.057089
-3.262, 0.778084, 0.0227
-3.281, 0.586482, 0.075893
-3.301, 1.524852, 0.448243
-3.32, 0.615674, 0.10249
-3.34, -0.475022, -0.34965
-3.359, -0.976317, -0.722
-3.379, -1.841973, -0.429439
-3.398, -1.616935, -0.775193
-3.418, -0.555961, -0.030492
-3.437, 0.563394, 0.288665
-3.457, 1.98979, 0.793997
-3.477, 1.556962, 0.767401
-3.496, 1.441524, 0.501436
-3.516, -0.662908, 0.075893
-3.535, -1.786245, -0.030492
-3.555, -1.962454, -1.01456
-3.574, -2.167325, -0.775193
-3.594, 0.134547, -0.34965
-3.613, -0.619121, -0.668807
-3.633, 2.10974, 0.448243
-3.652, 1.16686, 0.182279
-3.672, 1.284952, 0.075893
-3.691, 0.757119, 0.448243
-3.711, -1.84622, -0.748596
-3.73, -0.786042, 0.208876
-3.75, -2.038617, -0.509228
-3.77, -0.512174, -0.057089
-3.789, 1.000734, 0.368454
-3.809, 0.825321, 0.129086
-3.828, 2.011286, 0.84719
-3.848, 1.341742, 0.47484
-3.867, 0.192664, -0.34965
-3.887, -0.714126, -0.243264
-3.906, -1.847812, -0.801789
-3.926, -0.871493, -0.668807
-3.945, -0.94341, -0.429439
-3.965, 0.926429, 0.262068
-3.984, 1.011349, 0.767401
-4.004, 1.200828, 0.341858
-4.023, 1.465407, 0.448243
-4.043, -0.455915, 0.0227
-4.063, 0.190541, 0.341858
-4.082, -1.596501, -0.34965
-4.102, -0.579049, -0.110282
-4.121, -0.421681, -0.34965
-4.141, -0.277582, -0.34965
-4.16, 0.768796, 0.075893
-4.18, 0.036358, 0.0227
-4.199, 0.360117, 0.0227
-4.219, -0.013533, 0.049297
-4.238, -0.145425, 0.0227
-4.258, 0.024947, 0.0227
-4.277, 0.005574, 0.0227
-4.297, 0.064222, 0.448243
-4.316, -0.0889, 0.049297
-4.336, -0.179924, 0.0227
-4.355, -0.557288, -0.34965
-4.375, -0.440788, 0.0227
-4.395, -0.193458, -0.34965
-4.414, 0.364363, -0.030492
-4.434, 0.860085, 0.448243
-4.453, 0.792945, 0.395051
-4.473, 0.523853, 0.075893
-4.492, -0.421947, 0.0227
-4.512, -1.165265, -0.030492
-4.531, -1.270354, -0.722
-4.551, -1.52883, -0.402842
-4.57, 0.226102, -0.057089
-4.59, -0.161347, -0.26986
-4.609, 2.053746, 0.793997
-4.629, 1.064955, 0.155683
-4.648, 0.974993, 0.395051
-4.668, 0.383204, 0.395051
-4.688, -1.697609, -0.695403
-4.707, -0.945268, 0.208876
-4.727, -1.682217, -0.429439
-4.746, -0.45273, -0.402842
-4.766, 0.69449, 0.368454
-4.785, 1.934327, 0.421647
-4.805, 2.166, 1.246137
-4.824, 0.675914, 0.075893
-4.844, 0.292446, -0.26986
-4.863, -1.582436, -0.296457
-4.883, -2.043659, -1.174139
-4.902, -1.456648, -0.668807
-4.922, -0.662377, -0.110282
-4.941, 1.422947, 0.341858
-4.961, 1.939104, 0.793997
-4.98, 2.012082, 0.767401
-5, 0.990119, 0.448243
-5.02, -0.710676, 0.075893
-5.039, -0.232999, 0.687611
-5.059, -2.131233, -0.775193
-5.078, -1.384465, -0.456035
-5.098, -0.459099, -0.34965
-5.117, -0.259536, -0.34965
-5.137, 2.131501, 0.448243
-5.156, 0.857962, 0.155683
-5.176, 1.171902, 0.075893
-5.195, 0.244943, 0.448243
-5.215, -1.2677, -0.402842
-5.234, -0.72421, 0.288665
-5.254, -1.392426, -0.083685
-5.273, -0.09235, -0.057089
-5.293, 0.424603, 0.368454
-5.312, 1.037621, 0.421647
-5.332, 1.349438, 0.448243
-5.352, 0.167188, 0.049297
-5.371, 0.31288, -0.26986
-5.391, -0.7879, -0.296457
-5.41, -0.520666, -0.34965
-5.43, -0.37471, -0.296457
-5.449, -0.13879, -0.030492
-5.469, 0.406557, 0.0227
-5.488, 0.076695, 0.0227
-5.508, 0.355605, 0.368454
-5.527, 0.088637, 0.049297
-5.547, -0.015125, 0.0227
-5.566, 0.122605, 0.0227
-5.586, 0.236717, 0.0227
-5.605, 0.277319, 0.0227
-5.625, 0.065815, 0.0227
-5.645, 0.003717, 0.0227
-5.664, -0.859286, -0.34965
-5.684, -0.485637, -0.030492
-5.703, -0.594441, -0.030492
-5.723, -0.171962, 0.0227
-5.742, 0.487762, 0.368454
-5.762, 1.080347, 0.368454
-5.781, 1.299548, 0.448243
-5.801, 0.236451, 0.075893
