TIME ms,IN-Nor
184.082,-0.059087553
183.594,-0.297926553
183.105,-0.191775553
182.617,-0.271388553
182.129,0.179750447
181.641,-0.085625553
181.152,0.285901447
180.664,-0.085625553
180.176,0.285901447
179.687,0.126675447
179.199,0.338976447
178.711,0.259363447
178.223,-0.059087553
177.734,0.418589447
177.246,0.047062447
176.758,0.179750447
176.27,0.259363447
175.781,0.100137447
175.293,0.232826447
174.805,-0.218313553
174.316,0.232826447
173.828,0.179750447
173.34,0.232826447
172.852,0.153213447
172.363,0.020525447
171.875,0.418589447
171.387,-0.085625553
170.898,0.312438447
170.41,-0.324463553
169.922,0.100137447
169.434,-0.324463553
168.945,-0.085625553
168.457,0.232826447
167.969,-0.165237553
167.48,0.259363447
166.992,-0.324463553
166.504,0.047062447
166.016,-0.271388553
165.527,-0.059087553
165.039,-0.112162553
164.551,-0.430613553
164.062,0.232826447
163.574,-0.324463553
163.086,-0.351001553
162.598,-0.191775553
162.109,-0.324463553
161.621,0.047062447
161.133,-0.377538553
160.645,0.259363447
160.156,-0.138700553
159.668,0.259363447
159.18,0.020525447
158.691,-0.218313553
158.203,-0.112162553
157.715,-0.138700553
157.227,0.285901447
156.738,-0.271388553
156.25,0.206288447
155.762,0.100137447
155.273,0.365514447
154.785,0.153213447
154.297,0.126675447
153.809,0.445126447
153.32,-0.112162553
152.832,0.285901447
152.344,0.259363447
151.855,0.179750447
151.367,0.206288447
150.879,-0.032549553
150.391,0.259363447
149.902,-0.351001553
149.414,0.232826447
148.926,0.285901447
148.437,-0.085625553
147.949,0.418589447
147.461,-0.138700553
146.973,0.126675447
146.484,-0.404076553
145.996,0.073600447
145.508,-0.297926553
145.02,-0.244850553
144.531,-0.218313553
144.043,-0.165237553
143.555,0.020525447
143.066,-0.324463553
142.578,0.100137447
142.09,-0.404076553
141.602,-0.112162553
141.113,-0.138700553
140.625,-0.297926553
140.137,-0.138700553
139.648,-0.377538553
139.16,-0.059087553
138.672,-0.457151553
138.184,-0.377538553
137.695,0.073600447
137.207,-0.377538553
136.719,0.047062447
136.23,-0.112162553
135.742,0.338976447
135.254,-0.271388553
134.766,0.312438447
134.277,0.126675447
133.789,-0.138700553
133.301,0.206288447
132.812,-0.112162553
132.324,0.312438447
131.836,0.020525447
