TIME μs, IN1
-6.934, -0.734209
-6.953, -0.632305
-6.973, 0.13304
-6.992, 0.391781
-7.012, 0.389393
-7.031, 0.709171
-7.051, -0.1809
-7.07, -0.047947
-7.09, -0.216195
-7.109, -0.106064
-7.129, 0.092703
-7.148, -0.065196
-7.168, -0.098368
-7.188, -0.301381
-7.207, -0.46671
-7.227, -0.257328
-7.246, 0.211856
-7.266, 0.343217
-7.285, 0.921206
-7.305, 0.489705
-7.324, -0.119333
-7.344, -0.499086
-7.363, -1.408795
-7.383, -1.381992
-7.402, -0.608155
-7.422, 0.055815
-7.441, 1.560497
-7.461, 1.234881
-7.48, 1.531571
-7.5, -0.300585
-7.52, -1.17606
-7.539, -1.858342
-7.559, -2.164586
-7.578, -0.22336
-7.598, 0.482805
-7.617, 1.924593
-7.637, 2.040828
-7.656, 1.318209
-7.676, 1.122627
-7.695, -1.139173
-7.715, -0.958186
-7.734, -2.022609
-7.754, -1.05213
-7.773, 0.870785
-7.793, 0.572502
-7.813, 2.135832
-7.832, 0.947744
-7.852, 0.63115
-7.871, -0.383647
-7.891, -2.143621
-7.91, -1.18296
-7.93, -1.557671
-7.949, 0.895996
-7.969, 1.166414
-7.988, 1.778105
-8.008, 2.146978
-8.027, -0.272189
-8.047, -0.61877
-8.066, -1.713712
-8.086, -1.816678
-8.105, -0.337207
-8.125, -0.778527
-8.145, 1.744668
-8.164, 0.482274
-8.184, 0.748712
-8.203, 0.444856
-8.223, -0.6676
-8.242, -0.088284
-8.262, -0.796572
-8.281, -0.123844
-8.301, 0.095622
-8.32, 0.052631
-8.34, 0.265728
-8.359, 0.007782
-8.379, 0.014151
-8.398, -0.034147
-8.418, 0.176296
-8.437, 0.328356
-8.457, 0.231494
-8.477, 0.012294
-8.496, -0.523235
-8.516, -0.65725
-8.535, -0.860793
-8.555, -0.108452
-8.574, -0.194169
-8.594, 1.411356
-8.613, 0.712621
-8.633, 0.923329
-8.652, 0.370817
-8.672, -1.053987
-8.691, -0.722533
-8.711, -1.497961
-8.73, -0.54765
-8.75, 0.781619
-8.77, 0.730136
-8.789, 1.929104
-8.809, 0.849024
-8.828, 0.230963
-8.848, -0.705548
-8.867, -2.15689
-8.887, -1.319098
-8.906, -1.282476
-8.926, 1.028418
-8.945, 1.701942
-8.965, 1.975545
-8.984, 1.392249
-9.004, -0.473875
-9.023, -1.347493
-9.043, -1.975638
-9.063, -2.167505
-9.082, -0.235037
-9.102, -0.730228
-9.121, 2.087269
-9.141, 1.087332
-9.16, 1.820566
-9.18, 0.781884
-9.199, -1.520253
-9.219, -0.6538
-9.238, -1.926543
-9.258, -0.532523
-9.277, 0.177888
-9.297, 1.4708
-9.316, 1.892748
-9.336, 0.731728
-9.355, 0.690595
-9.375, -0.992951
-9.395, -1.053191
-9.414, -0.98552
-9.434, -0.564634
-9.453, 0.60594
-9.473, 0.649992
-9.492, 0.960217
-9.512, 1.025499
-9.531, -0.222299
-9.551, 0.301553
-9.57, -0.876981
-9.59, -0.168958
-9.609, -0.26927
-9.629, -0.168427
-9.648, 0.068553
-9.668, -0.217257
-9.688, -0.081915
-9.707, -0.136848
-9.727, 0.215572
-9.746, 0.25352
-9.766, 0.543311
-9.785, 0.290142
-9.805, -0.060685
-9.824, -0.748009
-9.844, -1.135192
-9.863, -0.748009
-9.883, -0.485817
-9.902, 0.611778
-9.922, 1.220816
-9.941, 1.216039
-9.961, 0.852209
-9.98, -0.472283
