TIME  ns, IN1, IN2
-224.863,2.060371,0.837051
-226.802,2.061336,0.849943
-228.74,2.062301,0.862835
-230.679,2.063265,0.875727
-232.617,2.063077,0.879371
-234.556,2.062433,0.879371
-236.494,2.06179,0.879371
-238.433,2.061147,0.879371
-240.371,2.059819,0.879371
-242.31,2.058018,0.879371
-244.248,2.056218,0.879371
-246.187,2.054417,0.879371
-248.125,2.051299,0.83738
-250.063,2.046668,0.747135
-252.002,2.042037,0.656891
-253.94,2.037406,0.566647
-255.879,2.032928,0.504834
-257.817,2.028748,0.498388
-259.756,2.024567,0.491942
-261.694,2.020386,0.485496
-263.633,2.015671,0.496919
-265.571,2.008982,0.574271
-267.51,2.002293,0.651623
-269.448,1.995604,0.728975
-271.387,1.988573,0.801268
-273.325,1.97796,0.820606
-275.264,1.967348,0.839944
-277.202,1.956735,0.859282
-279.141,1.946123,0.87862
-281.079,1.929019,0.879371
-283.018,1.911654,0.879371
-284.956,1.894288,0.879371
-286.895,1.876922,0.879371
-288.833,1.863209,0.804003
-290.771,1.850217,0.713759
-292.71,1.837225,0.623515
-294.648,1.824233,0.53327
-296.587,1.814707,0.50245
-298.525,1.806603,0.496004
-300.464,1.798499,0.489557
-302.402,1.790395,0.483111
-304.341,1.781241,0.525528
-306.279,1.771336,0.60288
-308.218,1.761431,0.680232
-310.156,1.751526,0.757584
-312.095,1.74068,0.767173
-314.033,1.728717,0.696267
-315.972,1.716754,0.625361
-317.91,1.704791,0.554454
-319.849,1.689847,0.532627
-321.787,1.66888,0.609979
-323.726,1.647912,0.687331
-325.664,1.626945,0.764683
-327.603,1.606571,0.81032
-329.541,1.588498,0.732968
-331.479,1.570424,0.655616
-333.418,1.552351,0.578264
-335.356,1.534324,0.506511
-337.295,1.516829,0.500065
-339.233,1.499335,0.493619
-341.172,1.48184,0.487173
-343.11,1.464346,0.480727
-345.049,1.449303,0.474281
-346.987,1.434382,0.467835
-348.926,1.41946,0.461389
-350.864,1.404538,0.454943
-352.803,1.387862,0.453828
-354.741,1.370818,0.453828
-356.68,1.353773,0.453828
-358.618,1.336729,0.453828
-360.557,1.317612,0.453828
-362.495,1.297609,0.453828
-364.434,1.277606,0.453828
-366.372,1.257603,0.453828
-368.311,1.235789,0.453828
-370.249,1.212635,0.453828
-372.187,1.18948,0.453828
-374.126,1.166326,0.453828
-376.064,1.142623,0.453828
-378.003,1.118247,0.453828
-379.941,1.093871,0.453828
-381.88,1.069494,0.453828
-383.818,1.046135,0.453828
-385.757,1.02491,0.453828
-387.695,1.003686,0.453828
-389.634,0.982461,0.453828
-391.572,0.961008,0.453828
-393.511,0.938626,0.453828
-395.449,0.916243,0.453828
-397.388,0.893861,0.453828
-399.326,0.871528,0.453828
-401.265,0.849853,0.453828
-403.203,0.828178,0.453828
-405.142,0.806503,0.453828
-407.08,0.784828,0.453828
-409.019,0.760662,0.368574
-410.957,0.73635,0.27833
-412.896,0.712038,0.188086
-414.834,0.687726,0.097842
-416.772,0.663203,0.0762
-418.711,0.638634,0.069754
-420.649,0.614065,0.063308
-422.588,0.589496,0.056862
-424.526,0.564837,0.050416
-426.465,0.540139,0.04397
-428.403,0.515441,0.037524
-430.342,0.490743,0.031078
-432.28,0.466009,0.028285
-434.219,0.441247,0.028285
-436.157,0.416485,0.028285
-438.096,0.391722,0.028285
-440.034,0.368207,0.028285
-441.973,0.346275,0.028285
-443.911,0.324342,0.028285
-445.85,0.30241,0.028285
-447.788,0.279446,0.028285
-449.727,0.254234,0.028285
-451.665,0.229021,0.028285
-453.604,0.203809,0.028285
-455.542,0.178511,0.028285
-457.48,0.152849,0.028285
-459.419,0.127186,0.028285
-461.357,0.101523,0.028285
-463.296,0.075748,0.033521
-465.234,0.048284,0.117319
-467.173,0.020821,0.201117
-469.111,-0.006643,0.284915
-471.05,-0.034106,0.368713
-472.988,-0.058498,0.307638
